Time	Advanced6h	Normal	Delayed6h
0	1	0	-0.965925826
1	0.965925826	0.258819045	-0.866025404
2	0.866025404	0.5	-0.707106781
3	0.707106781	0.707106781	-0.5
4	0.5	0.866025404	-0.258819045
5	0.258819045	0.965925826	-2.4503E-16
6	1.22515E-16	1	0
7	-0.258819045	0.965925826	0.258819045
8	-0.5	0.866025404	0.5
9	-0.707106781	0.707106781	0.707106781
10	-0.866025404	0.5	0.866025404
11	-0.965925826	0.258819045	0.965925826
12	-1	1.22515E-16	1
13	-0.965925826	-0.258819045	0.965925826
14	-0.866025404	-0.5	0.866025404
15	-0.707106781	-0.707106781	0.707106781
16	-0.5	-0.866025404	0.5
17	-0.258819045	-0.965925826	0.258819045
18	-2.4503E-16	-1	1.22515E-16
19	0	-0.965925826	-0.258819045
20	0.258819045	-0.866025404	-0.5
21	0.5	-0.707106781	-0.707106781
22	0.707106781	-0.5	-0.866025404
23	0.866025404	-0.258819045	-0.965925826
24	0.965925826	-2.4503E-16	-1
